"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","AVG","OBP","SLG","OPS","wOBA","Fld","BsR","WAR","ADP","playerid"
"Marwin Gonzalez","Astros","132","553","502","132","29","1","19","65","72","39","113","6","8","5",".264",".322",".437",".759",".324","1.2","-0.5","1.8","116.4","5497"
"Christian Walker","Diamondbacks","2","7","6","2","0","0","0","1","1","1","2","0","0","0",".251",".314",".448",".762",".323","0.0","0.0","0.0","654.7","13419"
"Luis Valbuena","Angels","115","483","419","95","20","1","20","56","64","56","121","3","1","2",".227",".320",".426",".746",".320","-1.3","-1.0","0.8","525.0","4969"
"C.J. Cron","Rays","142","595","545","138","27","2","24","65","82","35","134","9","5","3",".252",".306",".443",".749",".318","-0.1","-1.1","0.6","376.3","12546"
"Dan Vogelbach","Mariners","10","42","37","9","2","0","1","5","5","5","9","0","0","0",".244",".332",".397",".729",".316","0.0","0.0","0.0","635.9","14130"
"Adrian Gonzalez","Mets","70","295","264","68","15","0","9","30","39","26","55","2","1","1",".259",".326",".417",".743",".316","0.6","-1.3","0.3","507.5","1908"
"Chris Carter","Angels","8","35","30","6","1","0","2","4","5","4","12","0","0","0",".211",".303",".437",".740",".315","-0.3","-0.1","0.0","999.0","9911"
"Victor Caratini","Cubs","6","26","23","6","1","0","1","3","3","2","5","0","0","0",".264",".327",".407",".734",".315","-0.2","0.0","0.1","541.3","14968"
"Dominic Smith","Mets","50","210","193","50","10","1","7","23","26","15","42","1","1","0",".262",".315",".421",".737",".315","1.3","-0.1","0.3","429.1","15653"
"Danny Valencia","Orioles","63","266","242","62","11","1","9","31","34","20","63","1","1","1",".255",".314",".422",".736",".315","-1.4","-1.0","0.2","620.2","6364"
"Tyler Austin","Yankees","18","77","69","16","3","0","3","9","10","7","24","0","1","0",".234",".305",".430",".735",".313","0.1","0.0","0.0","672.9","11850"
"A.J. Reed","Astros","22","91","80","18","3","0","4","11","12","9","28","1","0","0",".228",".310",".420",".730",".312","0.0","0.0","0.1","624.2","16246"
"Mike Napoli","Indians","25","105","91","19","3","0","5","12","14","12","33","1","1","0",".213",".310",".421",".730",".312","0.1","-0.3","0.0","560.1","3057"
"Mark Canha","Athletics","18","77","69","17","4","0","2","9","9","6","19","1","1","0",".242",".309",".421",".730",".312","-0.4","0.0","0.1","999.0","11445"
"Sam Travis","Red Sox","5","21","19","5","1","0","0","2","2","2","4","0","0","0",".263",".327",".390",".717",".312","0.1","0.0","0.0","680.5","16263"
"Jesus Aguilar","Brewers","49","206","186","45","8","1","8","24","29","16","54","2","0","0",".240",".305",".427",".732",".311","0.2","-0.1","0.0","520.8","11342"
"Tyler White","Astros","67","280","250","60","12","1","10","33","36","24","66","3","2","2",".242",".313",".411",".724",".311","-0.4","-0.2","0.1","651.5","15564"
"Garrett Cooper","Marlins","59","248","226","58","13","1","7","26","29","17","54","2","1","1",".257",".312",".412",".725",".309","0.1","0.0","0.3","644.5","15279"
"Rob Refsnyder","Indians","3","14","13","3","1","0","0","2","1","1","3","0","0","0",".258",".326",".385",".711",".308","-0.1","0.0","0.0","999.0","13770"
"Jose Osuna","Pirates","26","109","101","26","6","1","3","12","13","6","21","1","1","1",".258",".301",".423",".724",".307","-0.1","-0.1","0.1","655.5","12937"
"Colin Moran","Pirates","103","434","396","103","18","2","11","46","50","31","94","2","2","2",".259",".315",".400",".715",".307","0.6","-0.8","0.8","418.5","16909"
"Albert Pujols","Angels","133","560","517","132","18","0","22","58","89","36","80","3","3","1",".255",".305",".420",".725",".307","-0.3","-2.9","-0.1","314.5","1177"
"Jefry Marte","Angels","18","77","70","16","3","0","3","9","10","6","17","1","1","1",".235",".300",".414",".714",".306","-0.2","-0.1","0.1","999.0","5107"
"James Loney","","25","105","97","27","4","0","2","10","11","7","12","1","0","0",".275",".325",".386",".710",".306","-0.1","-0.4","-0.1","999.0","4556"
"Rob Segedin","Dodgers","15","65","59","14","3","0","2","7","8","4","15","1","0","0",".242",".300",".397",".697",".300","0.0","-0.1","0.1","999.0","11446"
"Sean Rodriguez","Pirates","85","356","317","71","15","1","13","40","40","27","112","6","2","2",".224",".296",".397",".693",".297","-1.0","-0.6","0.1","634.1","6589"
"Ryan Rua","Rangers","38","161","146","34","6","1","5","18","17","12","50","2","2","1",".231",".293",".383",".676",".291","0.6","0.0","-0.1","709.8","12409"
"Tomas Telis","Marlins","9","39","36","10","2","0","1","4","4","2","5","0","0","0",".264",".305",".368",".672",".291","-0.3","0.0","0.0","663.8","10067"
"Ryan Howard","","42","175","161","35","7","0","9","17","27","10","54","1","0","0",".219",".269",".423",".691",".289","-2.1","-0.5","-0.5","999.0","2154"
"Ryder Jones","Giants","22","91","83","20","4","1","2","9","9","5","21","1","1","0",".237",".291",".383",".674",".288","-0.4","0.1","-0.1","999.0","15982"
"Taylor Davis","Cubs","1","6","6","1","0","0","0","1","1","0","1","0","0","0",".242",".299",".361",".659",".287","-0.1","0.0","0.0","999.0","12782"
"John Hicks","Tigers","55","233","218","53","10","1","6","24","26","11","60","2","4","2",".243",".282",".380",".662",".284","0.7","-0.2","0.1","632.7","12547"
"Chad Wallach","Marlins","15","64","58","13","3","0","2","6","6","5","16","1","0","0",".219",".288",".351",".639",".279","-0.3","0.0","0.1","712.0","17161"
"Stephen Cardullo","Rockies","0","0","0","0","0","0","0","0","0","0","0","0","0","0",".000",".000",".000",".000",".000","0.0","0.0","0.0","999.0","11204"
