"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","AVG","OBP","SLG","OPS","wOBA","Fld","BsR","WAR","ADP","playerid"
"Carson Kelly","Cardinals","23","96","87","21","4","0","2","10","10","7","16","1","0","0",".246",".310",".370",".680",".297","0.7","-0.1","0.3","531.4","13620"
"Christian Vazquez","Red Sox","107","448","411","107","22","2","7","49","44","28","87","4","7","3",".260",".311",".371",".683",".296","2.7","-0.5","1.4","294.9","9774"
"Josh Phegley","Athletics","21","90","82","19","5","0","3","10","11","5","17","1","0","0",".237",".290",".401",".691",".296","-0.2","-0.2","0.3","616.7","9308"
"Andrew Knapp","Phillies","15","64","57","13","3","0","2","7","6","6","18","0","0","0",".232",".309",".372",".681",".295","-0.4","0.0","0.1","640.9","14942"
"Cameron Rupp","Phillies","53","224","202","45","10","0","8","22","27","19","68","2","1","0",".221",".292",".397",".689",".295","-0.7","-0.4","0.4","496.1","11146"
"Yan Gomes","Indians","61","256","234","54","11","1","10","28","35","15","66","4","0","0",".230",".284",".406",".690",".294","2.1","-0.1","0.9","392.5","9627"
"A.J. Ellis","Padres","38","160","140","31","6","0","4","15","17","15","30","3","1","0",".223",".309",".361",".670",".293","1.1","-0.7","0.5","999.0","5677"
"Jett Bandy","Brewers","20","83","75","17","4","0","3","9","10","5","18","2","0","0",".226",".290",".391",".681",".293","0.1","-0.2","0.2","682.4","12508"
"Bruce Maxwell","Athletics","21","90","80","19","4","0","2","9","9","8","20","0","0","0",".240",".310",".359",".669",".293","0.4","-0.2","0.3","452.4","13866"
"Omar Narvaez","White Sox","38","160","141","36","5","0","2","15","12","16","24","1","0","0",".253",".330",".326",".656",".292","-0.9","-0.1","0.4","660.2","13338"
"Kevan Smith","White Sox","21","90","82","21","4","0","2","9","9","5","17","1","0","0",".251",".300",".373",".674",".292","-0.6","-0.1","0.2","623.6","12284"
"Tomas Telis","Marlins","9","39","36","10","2","0","1","4","4","2","5","0","0","0",".264",".305",".368",".672",".291","-0.3","0.0","0.0","663.8","10067"
"Chris Herrmann","Diamondbacks","12","51","46","10","2","0","1","6","6","5","13","0","1","0",".223",".299",".370",".670",".291","0.1","0.1","0.1","530.0","9284"
"Chris Gimenez","Cubs","23","96","84","18","3","0","3","10","9","10","26","1","1","0",".216",".302",".359",".661",".290","-0.6","-0.2","0.1","999.0","7324"
"Raudy Read","Nationals","5","19","18","4","1","0","0","2","2","1","4","0","0","0",".247",".290",".386",".676",".290","-0.1","0.0","0.0","999.0","15766"
"Sandy Leon","Red Sox","46","192","173","41","8","1","4","21","20","15","45","1","1","0",".238",".303",".364",".666",".289","2.0","-0.3","0.6","552.7","5273"
"Max Stassi","Astros","8","32","29","6","1","0","1","4","4","3","10","0","0","0",".215",".290",".376",".666",".289","-0.1","0.0","0.1","663.3","10059"
"Dioner Navarro","","61","256","232","54","9","1","7","25","28","19","54","2","2","2",".235",".295",".373",".668",".289","-1.7","-1.1","0.3","999.0","3179"
"Andrew Susac","Orioles","12","51","45","10","2","0","2","6","6","5","15","0","0","0",".212",".290",".375",".665",".287","-0.4","0.0","0.1","670.4","13132"
"Austin Hedges","Padres","99","416","386","89","18","1","16","40","53","21","104","3","4","2",".232",".275",".405",".680",".287","5.3","-0.1","1.4","256.0","12976"
"John Hicks","Tigers","55","233","218","53","10","1","6","24","26","11","60","2","4","2",".243",".282",".380",".662",".284","0.7","-0.2","0.1","632.7","12547"
"Tony Wolters","Rockies","38","160","141","34","7","1","2","16","14","15","37","1","1","1",".239",".316",".337",".653",".283","1.8","-0.2","0.1","602.5","11470"
"Blake Swihart","Red Sox","13","56","51","12","2","0","1","6","5","4","14","0","1","0",".235",".296",".353",".649",".283","0.0","0.0","-0.1","498.1","13176"
"Juan Centeno","Rangers","35","147","135","35","6","1","2","14","13","9","26","1","1","1",".258",".304",".346",".650",".283","-2.3","-0.3","0.0","999.0","7168"
"Mike Marjama","Mariners","35","147","137","32","7","1","4","15","16","7","30","2","1","1",".237",".280",".379",".659",".283","-1.2","-0.2","0.2","724.7","12594"
"Eric Haase","Indians","3","13","12","2","1","0","1","1","2","1","5","0","0","0",".202",".269",".391",".660",".283","0.0","0.0","0.0","999.0","sa601042"
"Pedro Severino","Nationals","8","32","30","7","1","0","1","3","3","2","6","0","0","0",".248",".295",".357",".653",".283","0.0","0.0","0.0","654.2","14523"
"Dustin Garneau","Athletics","3","13","12","3","1","0","0","1","1","1","3","0","0","0",".220",".284",".369",".653",".282","0.0","0.0","0.0","725.0","9433"
"Isiah Kiner-Falefa","Rangers","3","13","12","3","1","0","0","1","1","1","2","0","0","0",".251",".308",".330",".638",".282","0.0","0.0","0.0","999.0","sa737855"
"Austin Romine","Yankees","30","128","118","29","6","0","3","13","14","7","26","1","1","0",".242",".287",".367",".655",".282","-0.6","-0.1","0.2","654.0","5491"
"Nick Hundley","Giants","27","115","107","25","6","0","3","11","13","6","29","0","0","0",".237",".280",".383",".663",".282","-1.4","-0.3","0.0","514.6","3376"
"Reese McGuire","Blue Jays","3","13","11","3","1","0","0","1","1","1","2","0","0","0",".235",".297",".349",".646",".281","0.1","0.0","0.0","999.0","sa737505"
"Austin Wynns","Orioles","3","13","12","3","1","0","0","1","1","1","3","0","0","0",".238",".296",".346",".642",".281","0.0","0.0","0.0","737.0","sa707785"
"John Ryan Murphy","Diamondbacks","3","13","12","3","1","0","0","1","1","1","3","0","0","0",".235",".288",".360",".649",".281","0.0","0.0","0.0","999.0","10346"
"Jacob Nottingham","Brewers","3","13","12","2","1","0","0","1","1","1","4","0","0","0",".217",".286",".362",".648",".281","0.0","0.0","0.0","730.3","sa737809"
"Kyle Farmer","Dodgers","11","46","43","10","2","0","1","4","5","2","8","0","0","0",".242",".287",".362",".649",".280","-0.1","-0.1","0.0","999.0","14813"
"Caleb Joseph","Orioles","76","320","296","68","13","1","9","32","34","17","78","2","1","1",".230",".277",".374",".651",".280","3.5","-0.4","0.8","484.0","7087"
"Elias Diaz","Pirates","46","192","179","45","9","1","2","17","19","10","34","1","2","1",".252",".293",".351",".644",".280","1.2","-0.2","0.3","686.9","11680"
"Chad Wallach","Marlins","15","64","58","13","3","0","2","6","6","5","16","1","0","0",".219",".288",".351",".639",".279","-0.3","0.0","0.1","712.0","17161"
"Raffy Lopez","Padres","8","32","29","6","1","0","1","3","3","3","9","0","0","0",".222",".292",".348",".640",".279","-0.2","0.0","0.0","741.5","12606"
"Rene Rivera","Angels","46","192","175","39","7","0","6","17","23","12","54","2","1","0",".224",".279",".372",".650",".277","1.0","-0.5","0.4","625.2","3648"
"David Freitas","Mariners","3","13","12","3","1","0","0","1","1","1","2","0","0","0",".232",".290",".343",".633",".277","-0.1","0.0","0.0","999.0","10619"
"Drew Butera","Royals","18","77","70","16","3","0","2","8","7","5","19","1","0","0",".228",".285",".350",".635",".277","-0.5","-0.1","0.0","689.5","3411"
"Carlos Perez","Angels","8","32","29","7","1","0","1","3","3","2","6","0","0","0",".231",".285",".350",".636",".276","0.2","0.0","0.1","693.4","10642"
"Jorge Alfaro","Phillies","89","373","348","79","15","1","11","36","41","15","122","7","2","1",".226",".270",".374",".644",".276","-0.9","-0.5","0.1","244.7","12180"
"Jesus Sucre","Rays","38","160","149","37","6","0","3","15","17","6","30","2","2","1",".247",".283",".353",".635",".275","0.8","0.0","0.4","656.6","5942"
"Martin Maldonado","Angels","91","384","344","74","14","1","11","37","38","24","97","9","2","2",".215",".283",".353",".636",".275","4.3","-0.8","1.0","405.4","6887"
"Cam Gallagher","Royals","8","32","29","7","1","0","1","3","3","2","5","0","0","0",".236",".291",".340",".630",".274","0.2","0.0","0.1","999.0","12981"
"Grayson Greiner","Tigers","8","32","29","7","1","0","1","3","3","2","8","0","0","0",".224",".279",".354",".633",".274","0.2","0.0","0.1","999.0","sa828801"
"Jacob Stallings","Pirates","15","64","59","14","3","0","1","6","6","4","14","1","0","0",".238",".286",".348",".634",".274","0.5","-0.1","0.1","999.0","13723"
"Ramon Cabrera","","23","96","89","22","4","0","1","8","9","5","16","0","1","0",".243",".288",".340",".628",".273","-0.4","-0.1","0.0","999.0","10327"
"Jose Lobaton","","23","96","86","19","3","0","2","8","9","8","22","1","0","0",".217",".290",".336",".626",".273","-0.6","-0.2","0.0","690.0","4243"
"Luis Torrens","Padres","8","32","29","7","1","0","0","3","3","3","7","0","0","0",".229",".299",".325",".625",".272","-0.1","0.0","0.0","687.8","15905"
"Tomas Nido","Mets","8","32","30","7","1","0","1","3","3","2","6","0","0","0",".235",".274",".359",".633",".272","0.1","0.0","0.0","999.0","13755"
"Chris Stewart","Braves","8","32","29","7","1","0","0","2","2","2","5","0","0","0",".242",".304",".312",".617",".272","-0.2","-0.1","0.0","999.0","3878"
"Meibrys Viloria","Royals","1","6","6","1","0","0","0","1","1","0","1","0","0","0",".227",".273",".344",".617",".268","0.0","0.0","0.0","999.0","sa830182"
"Stuart Turner","Reds","8","32","29","6","1","0","1","3","3","2","8","0","0","0",".213",".275",".325",".600",".263","0.0","-0.1","0.0","712.0","15207"
"Alfredo Gonzalez","White Sox","1","6","6","1","0","0","0","1","0","1","1","0","0","0",".219",".288",".301",".589",".263","0.0","0.0","0.0","999.0","sa505301"
"Juan Graterol","Angels","8","32","30","8","1","0","0","3","3","1","5","0","0","0",".248",".273",".335",".608",".263","0.2","0.0","0.0","999.0","5398"
"Jose Trevino","Rangers","1","6","6","1","0","0","0","1","1","0","1","0","0","0",".231",".264",".335",".598",".258","0.0","0.0","0.0","999.0","sa827368"
"Jeff Mathis","Diamondbacks","69","288","264","56","11","2","5","23","25","18","86","2","2","1",".211",".265",".319",".584",".253","2.5","-0.3","-0.3","690.1","3448"
"Luke Maile","Blue Jays","5","19","18","4","1","0","0","2","2","1","4","0","0","0",".208",".257",".319",".576",".251","0.1","0.0","0.0","693.9","13355"
"Trevor Brown","Giants","3","13","12","3","0","0","0","1","1","1","3","0","0","0",".217",".264",".300",".564",".247","0.0","0.0","0.0","999.0","13895"
"Geovany Soto","","0","0","0","0","0","0","0","0","0","0","0","0","0","0",".000",".000",".000",".000",".000","0.0","0.0","0.0","999.0","3707"
"Rob Brantly","","0","0","0","0","0","0","0","0","0","0","0","0","0","0",".000",".000",".000",".000",".000","0.0","0.0","0.0","999.0","10655"
"Carlos Ruiz","","0","0","0","0","0","0","0","0","0","0","0","0","0","0",".000",".000",".000",".000",".000","0.0","0.0","0.0","999.0","2579"
